               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 110,             0.01627,           0.0071997,           0.0023344,             0.93745,             0.90495,             0.92534,             0.66927,            0.023901,            0.011153,            0.010904,           0.0089209,           0.0089209,           0.0089209
                 111,            0.018279,           0.0069584,           0.0019862,             0.92958,             0.93939,             0.94678,             0.66895,            0.023173,            0.010288,           0.0078222,            0.008911,            0.008911,            0.008911
                 112,            0.018985,           0.0072358,           0.0020106,             0.93556,             0.92358,             0.93821,             0.66701,            0.021425,           0.0096271,           0.0080649,           0.0089011,           0.0089011,           0.0089011
                 113,            0.017847,           0.0066683,           0.0016353,             0.94198,             0.90673,             0.94539,             0.68339,            0.022843,           0.0099127,           0.0085221,           0.0088912,           0.0088912,           0.0088912
                 114,            0.017743,           0.0066507,            0.003228,             0.89997,             0.88416,             0.93125,             0.64466,            0.025528,            0.010972,           0.0094477,           0.0088813,           0.0088813,           0.0088813
                 115,            0.017165,           0.0066942,           0.0025573,             0.92889,             0.93131,             0.94792,             0.68687,            0.021947,            0.010691,           0.0082981,           0.0088714,           0.0088714,           0.0088714
                 116,            0.018367,           0.0069483,           0.0027403,             0.93673,             0.93813,             0.94189,             0.66693,            0.023731,            0.010335,           0.0075923,           0.0088615,           0.0088615,           0.0088615
                 117,            0.016555,           0.0065043,           0.0019084,             0.93407,             0.93939,             0.94045,             0.65604,            0.024048,            0.010682,           0.0074558,           0.0088516,           0.0088516,           0.0088516
                 118,            0.017192,           0.0066724,           0.0021129,             0.92875,              0.9111,             0.94761,             0.67578,            0.023853,            0.010186,           0.0077588,           0.0088417,           0.0088417,           0.0088417
                 119,            0.017107,           0.0072126,           0.0018589,             0.93304,             0.91558,             0.93472,             0.59053,            0.029775,            0.011547,            0.012334,           0.0088318,           0.0088318,           0.0088318
                 120,            0.018268,           0.0065525,           0.0029892,             0.93035,               0.914,             0.93919,             0.69661,             0.02068,            0.010511,            0.011893,           0.0088219,           0.0088219,           0.0088219
                 121,            0.017327,           0.0065656,           0.0030618,             0.93404,             0.91297,             0.94817,             0.68153,            0.022822,            0.010571,           0.0086866,            0.008812,            0.008812,            0.008812
                 122,            0.018393,           0.0064816,           0.0026722,             0.92528,             0.89394,             0.93135,             0.67374,            0.024488,            0.011356,            0.011618,           0.0088021,           0.0088021,           0.0088021
                 123,            0.016698,           0.0070916,           0.0017904,             0.93678,             0.91527,              0.9385,             0.65351,            0.024775,            0.010709,            0.012952,           0.0087922,           0.0087922,           0.0087922
                 124,            0.016426,           0.0065417,           0.0019995,             0.91847,             0.91558,             0.93203,             0.67326,            0.024337,            0.010664,            0.012785,           0.0087823,           0.0087823,           0.0087823
                 125,            0.016001,           0.0059584,           0.0016234,             0.91869,             0.91558,              0.9293,             0.66807,            0.023789,            0.010051,            0.012751,           0.0087724,           0.0087724,           0.0087724
                 126,            0.016644,           0.0067952,            0.001791,             0.92762,             0.85719,             0.92798,             0.67395,            0.022015,            0.010081,            0.011301,           0.0087625,           0.0087625,           0.0087625
                 127,            0.016202,           0.0065449,           0.0017731,             0.92241,              0.8406,             0.86659,             0.60194,            0.029411,            0.011025,            0.023232,           0.0087526,           0.0087526,           0.0087526
                 128,            0.016524,           0.0062791,           0.0017001,             0.90079,             0.88315,             0.92559,             0.69173,             0.02205,            0.009657,            0.014285,           0.0087427,           0.0087427,           0.0087427
                 129,            0.017157,           0.0062908,           0.0014805,             0.93288,              0.8548,             0.91128,             0.64295,            0.022175,            0.011748,            0.014394,           0.0087328,           0.0087328,           0.0087328
                 130,            0.017024,           0.0061455,           0.0016891,             0.91417,             0.90575,             0.93687,             0.69544,            0.020698,            0.010278,            0.012197,           0.0087229,           0.0087229,           0.0087229
                 131,            0.016299,           0.0063374,           0.0023721,             0.93328,              0.9084,             0.94379,             0.67869,            0.022024,           0.0099585,            0.012632,            0.008713,            0.008713,            0.008713
                 132,            0.016006,           0.0063599,           0.0014219,             0.92763,             0.86521,             0.93143,             0.66649,             0.02368,            0.010052,            0.014639,           0.0087031,           0.0087031,           0.0087031
                 133,             0.01665,           0.0071375,           0.0016775,             0.91835,             0.91558,             0.92733,             0.68862,            0.022381,           0.0099213,            0.013394,           0.0086932,           0.0086932,           0.0086932
                 134,            0.016256,           0.0061669,           0.0014637,             0.91655,              0.9068,             0.94048,             0.69986,            0.020936,           0.0097498,            0.012783,           0.0086833,           0.0086833,           0.0086833
                 135,             0.01776,           0.0067276,           0.0018576,             0.88751,             0.92011,              0.9452,              0.7146,            0.019507,           0.0091351,            0.012399,           0.0086734,           0.0086734,           0.0086734
                 136,            0.016777,           0.0070715,           0.0037136,             0.93123,             0.89618,             0.94753,             0.72512,            0.019197,           0.0089185,            0.011691,           0.0086635,           0.0086635,           0.0086635
                 137,            0.016317,           0.0060964,           0.0019252,             0.88581,             0.90289,             0.94023,             0.69731,            0.019456,           0.0091876,            0.013488,           0.0086536,           0.0086536,           0.0086536
                 138,             0.01606,            0.006177,            0.002251,             0.84202,             0.89984,             0.91979,             0.69171,            0.020843,           0.0096918,            0.019423,           0.0086437,           0.0086437,           0.0086437
                 139,            0.016789,           0.0066086,           0.0016572,             0.80346,             0.93197,             0.92258,             0.69244,            0.020851,           0.0094165,            0.016738,           0.0086338,           0.0086338,           0.0086338
                 140,            0.017763,           0.0063241,           0.0019209,             0.85786,             0.93418,             0.92902,              0.7115,            0.018988,           0.0088428,            0.013053,           0.0086239,           0.0086239,           0.0086239
                 141,            0.016326,           0.0062892,           0.0016358,             0.89416,             0.91813,             0.93212,             0.69766,            0.020351,           0.0094116,            0.013515,            0.008614,            0.008614,            0.008614
                 142,            0.016499,           0.0068161,           0.0011861,             0.86585,             0.93659,             0.92723,             0.65837,            0.021274,            0.010325,             0.01357,           0.0086041,           0.0086041,           0.0086041
                 143,            0.016125,           0.0065129,           0.0016094,              0.9181,             0.93939,             0.93607,             0.68344,            0.020713,            0.010255,           0.0093979,           0.0085942,           0.0085942,           0.0085942
