               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  80,              0.0211,           0.0083674,           0.0032098,             0.86542,             0.84722,             0.88029,              0.5981,             0.02579,           0.0055347,            0.012947,           0.0092179,           0.0092179,           0.0092179
                  81,            0.021175,           0.0087488,           0.0039973,             0.88532,             0.83302,             0.90066,             0.62039,            0.025078,           0.0060693,            0.010123,            0.009208,            0.009208,            0.009208
                  82,            0.021958,           0.0086962,           0.0033596,             0.89238,             0.86944,             0.90555,             0.61798,            0.027443,           0.0054327,           0.0086347,           0.0091981,           0.0091981,           0.0091981
                  83,            0.022695,           0.0086329,           0.0028337,             0.92493,             0.84561,             0.88356,             0.61638,            0.024029,           0.0053098,            0.010922,           0.0091882,           0.0091882,           0.0091882
                  84,            0.020619,           0.0083949,           0.0030455,             0.91613,             0.89028,             0.88181,             0.58965,              0.0242,           0.0047797,            0.010444,           0.0091783,           0.0091783,           0.0091783
                  85,            0.021701,           0.0085751,           0.0030672,              0.9098,             0.87777,             0.89005,              0.6186,            0.024149,           0.0050378,           0.0097421,           0.0091684,           0.0091684,           0.0091684
                  86,            0.021855,           0.0083258,           0.0025751,             0.90077,             0.90858,             0.90845,             0.63178,            0.024885,           0.0049515,           0.0085562,           0.0091585,           0.0091585,           0.0091585
                  87,            0.021715,           0.0087987,            0.002902,             0.89495,             0.91111,             0.92178,             0.65724,            0.023903,            0.005079,            0.010998,           0.0091486,           0.0091486,           0.0091486
                  88,            0.020774,           0.0080158,           0.0031156,             0.94018,             0.80278,             0.85657,             0.56158,            0.027846,           0.0051096,            0.010472,           0.0091387,           0.0091387,           0.0091387
                  89,            0.021343,            0.008365,           0.0033111,              0.8317,             0.86322,             0.86991,             0.59258,            0.026013,           0.0052884,            0.016754,           0.0091288,           0.0091288,           0.0091288
                  90,            0.021362,           0.0084442,           0.0027595,             0.89811,             0.88129,             0.90077,             0.60352,            0.025082,           0.0053751,            0.010553,           0.0091189,           0.0091189,           0.0091189
                  91,            0.022177,           0.0087892,           0.0029189,             0.90335,             0.81631,             0.86279,             0.62167,            0.023907,           0.0051828,            0.013602,            0.009109,            0.009109,            0.009109
                  92,            0.020625,           0.0083634,           0.0025519,             0.90003,             0.79657,             0.85935,             0.62186,            0.023484,           0.0052328,            0.014307,           0.0090991,           0.0090991,           0.0090991
                  93,            0.021611,           0.0082624,           0.0028644,             0.87811,             0.86255,             0.86165,             0.61846,             0.02417,           0.0057797,            0.012957,           0.0090892,           0.0090892,           0.0090892
                  94,            0.021121,           0.0084425,            0.002225,             0.94627,              0.8458,             0.89377,             0.64318,            0.022098,           0.0055508,            0.011133,           0.0090793,           0.0090793,           0.0090793
                  95,            0.020496,           0.0081373,           0.0028894,              0.9185,             0.82803,             0.91517,              0.6306,            0.023436,           0.0055185,            0.011348,           0.0090694,           0.0090694,           0.0090694
                  96,            0.021683,           0.0081721,           0.0025519,             0.91054,             0.85579,             0.90948,             0.64028,            0.023797,           0.0050864,           0.0089796,           0.0090595,           0.0090595,           0.0090595
                  97,            0.020367,           0.0080296,           0.0028972,             0.93602,             0.89023,             0.91144,             0.64684,            0.022119,           0.0051746,           0.0083559,           0.0090496,           0.0090496,           0.0090496
                  98,            0.021306,           0.0085101,           0.0026851,             0.92613,             0.88837,             0.90784,             0.64168,            0.022273,           0.0055295,            0.009601,           0.0090397,           0.0090397,           0.0090397
                  99,            0.020528,            0.008231,           0.0031987,             0.89429,             0.88119,             0.90918,             0.65094,            0.023586,           0.0052097,           0.0097744,           0.0090298,           0.0090298,           0.0090298
                 100,            0.020474,           0.0082352,           0.0025984,              0.9012,             0.87574,             0.90339,             0.65726,            0.022052,           0.0053177,           0.0098963,           0.0090199,           0.0090199,           0.0090199
                 101,            0.020174,           0.0081407,           0.0023171,              0.8984,             0.93333,             0.91836,             0.65336,            0.021993,           0.0054242,           0.0066725,             0.00901,             0.00901,             0.00901
                 102,            0.020339,           0.0081142,           0.0021274,             0.94166,             0.91086,             0.91624,             0.67008,            0.022319,           0.0049741,           0.0066293,           0.0090001,           0.0090001,           0.0090001
                 103,            0.021162,           0.0081428,           0.0027563,             0.92951,             0.89048,             0.92002,             0.66273,            0.022952,             0.00508,           0.0070029,           0.0089902,           0.0089902,           0.0089902
                 104,            0.019971,            0.008078,           0.0027876,             0.88337,             0.84786,             0.89348,             0.65733,            0.022549,           0.0049591,           0.0097149,           0.0089803,           0.0089803,           0.0089803
                 105,            0.020245,           0.0083993,           0.0029104,             0.89722,              0.8294,             0.86094,             0.63093,            0.024754,           0.0055109,            0.012479,           0.0089704,           0.0089704,           0.0089704
                 106,            0.019912,           0.0082302,           0.0029053,             0.92931,              0.8096,             0.86328,             0.61617,            0.024203,           0.0058844,            0.011508,           0.0089605,           0.0089605,           0.0089605
                 107,            0.020009,            0.008131,           0.0031069,             0.90158,             0.86422,              0.8826,             0.59173,            0.027459,           0.0056195,            0.010545,           0.0089506,           0.0089506,           0.0089506
                 108,            0.019559,            0.007678,           0.0027679,             0.88127,              0.8438,             0.88704,             0.63833,            0.024178,           0.0058444,            0.010039,           0.0089407,           0.0089407,           0.0089407
                 109,            0.019622,           0.0076853,           0.0025838,              0.8447,             0.84075,             0.88239,              0.6028,            0.024249,            0.006232,            0.011815,           0.0089308,           0.0089308,           0.0089308
                 110,            0.020932,           0.0078212,           0.0029481,             0.91554,             0.86161,             0.89372,             0.63874,            0.023624,           0.0051883,            0.010067,           0.0089209,           0.0089209,           0.0089209
                 111,            0.019885,           0.0081534,            0.002582,             0.93089,             0.80278,             0.87372,             0.62261,            0.023408,           0.0058557,            0.009676,            0.008911,            0.008911,            0.008911
                 112,            0.020135,           0.0080569,             0.00259,             0.90058,             0.84536,             0.90363,             0.64213,            0.022176,           0.0055359,           0.0099707,           0.0089011,           0.0089011,           0.0089011
                 113,             0.01999,           0.0081669,           0.0020447,             0.89567,             0.79833,             0.86976,             0.62898,            0.023049,            0.005318,            0.011423,           0.0088912,           0.0088912,           0.0088912
                 114,            0.020123,           0.0080356,           0.0026074,             0.92178,             0.84204,             0.90283,             0.65747,             0.02287,            0.005249,           0.0090015,           0.0088813,           0.0088813,           0.0088813
                 115,            0.020486,           0.0081335,           0.0021977,             0.88749,             0.84444,             0.89649,             0.64549,            0.021299,           0.0052374,             0.01172,           0.0088714,           0.0088714,           0.0088714
                 116,            0.019969,            0.008205,           0.0025925,             0.86049,             0.90034,             0.90862,             0.67753,             0.02114,            0.004783,           0.0099259,           0.0088615,           0.0088615,           0.0088615
                 117,            0.019669,           0.0077216,           0.0024879,             0.88215,             0.90526,             0.90416,             0.65061,            0.023549,           0.0047537,           0.0095455,           0.0088516,           0.0088516,           0.0088516
                 118,            0.018822,           0.0074967,            0.002131,             0.84072,             0.90171,             0.91417,             0.67117,            0.022969,           0.0052356,           0.0089713,           0.0088417,           0.0088417,           0.0088417
                 119,             0.01993,           0.0075944,           0.0024639,             0.87767,             0.88419,             0.91382,             0.67954,            0.020769,           0.0051495,           0.0087364,           0.0088318,           0.0088318,           0.0088318
                 120,            0.019754,           0.0076977,           0.0029305,             0.80971,             0.91539,             0.92486,             0.63104,            0.025015,            0.005419,           0.0091742,           0.0088219,           0.0088219,           0.0088219
                 121,            0.019755,            0.007771,           0.0023924,             0.89289,             0.82261,             0.87493,              0.6024,            0.025335,           0.0056277,            0.011203,            0.008812,            0.008812,            0.008812
                 122,            0.019101,             0.00791,           0.0022813,             0.88323,             0.82717,             0.86859,              0.5966,            0.024578,           0.0056552,            0.012252,           0.0088021,           0.0088021,           0.0088021
                 123,            0.018935,           0.0073284,           0.0020847,             0.85936,             0.82269,             0.83676,             0.57323,            0.026424,           0.0061261,            0.017155,           0.0087922,           0.0087922,           0.0087922
                 124,            0.019999,            0.008059,           0.0026408,             0.85402,             0.82091,             0.83711,             0.58146,            0.027048,           0.0059039,            0.017338,           0.0087823,           0.0087823,           0.0087823
                 125,            0.020357,           0.0079549,           0.0026403,             0.91786,             0.83995,             0.89755,             0.59792,            0.025862,           0.0058365,            0.014321,           0.0087724,           0.0087724,           0.0087724
                 126,            0.019008,           0.0078483,           0.0018738,             0.88906,             0.84722,             0.88653,             0.61373,            0.024917,            0.005788,             0.01196,           0.0087625,           0.0087625,           0.0087625
                 127,             0.01886,           0.0075756,           0.0021771,             0.90836,             0.89028,             0.90918,             0.64049,            0.023245,           0.0057123,           0.0071488,           0.0087526,           0.0087526,           0.0087526
                 128,            0.019611,           0.0079416,           0.0029163,             0.94954,             0.85397,             0.91491,             0.63913,            0.023943,           0.0057144,             0.00821,           0.0087427,           0.0087427,           0.0087427
                 129,            0.018974,           0.0076528,           0.0022898,             0.91891,              0.8156,             0.87203,             0.63809,            0.022998,            0.005863,            0.011029,           0.0087328,           0.0087328,           0.0087328
                 130,            0.019018,           0.0074915,           0.0024399,             0.94224,             0.76982,             0.90214,             0.62309,            0.024062,           0.0059729,            0.012373,           0.0087229,           0.0087229,           0.0087229
                 131,            0.018612,           0.0076336,           0.0023285,             0.88796,             0.88316,             0.91551,             0.63497,            0.024007,           0.0058774,            0.010989,            0.008713,            0.008713,            0.008713
                 132,            0.018487,            0.007555,           0.0026109,             0.92529,             0.88386,             0.90452,             0.63349,            0.023786,           0.0055688,           0.0096508,           0.0087031,           0.0087031,           0.0087031
                 133,            0.018511,            0.007543,           0.0023311,             0.93534,             0.84583,             0.91798,             0.64851,            0.023771,           0.0050378,           0.0097967,           0.0086932,           0.0086932,           0.0086932
                 134,            0.018938,             0.00788,            0.002017,             0.90458,             0.85986,             0.89848,             0.64414,            0.023045,           0.0052634,            0.013734,           0.0086833,           0.0086833,           0.0086833
                 135,            0.018565,           0.0076483,           0.0025795,             0.92542,             0.86212,             0.93257,             0.65968,             0.02377,            0.004938,           0.0099724,           0.0086734,           0.0086734,           0.0086734
                 136,            0.019113,           0.0079912,           0.0028306,             0.94371,             0.87846,             0.90134,             0.62062,            0.022973,           0.0053018,           0.0076784,           0.0086635,           0.0086635,           0.0086635
                 137,            0.018621,           0.0078022,           0.0025539,             0.94468,             0.83071,             0.91127,             0.65123,            0.022332,           0.0056674,           0.0078641,           0.0086536,           0.0086536,           0.0086536
                 138,            0.019752,           0.0078489,           0.0025072,             0.94531,             0.84861,             0.90358,             0.62792,            0.023887,           0.0056619,           0.0078724,           0.0086437,           0.0086437,           0.0086437
                 139,            0.019588,           0.0074395,           0.0019985,             0.90408,             0.88409,             0.90469,              0.6171,            0.023499,           0.0057553,           0.0064576,           0.0086338,           0.0086338,           0.0086338
                 140,            0.017786,           0.0074732,           0.0022204,             0.93913,             0.82639,             0.89859,             0.65696,            0.022659,           0.0058249,            0.009787,           0.0086239,           0.0086239,           0.0086239
                 141,            0.019359,           0.0079301,           0.0024634,             0.92223,             0.82952,              0.8746,             0.63609,            0.022888,           0.0056967,            0.010117,            0.008614,            0.008614,            0.008614
                 142,            0.019002,            0.007763,           0.0020425,             0.94268,               0.825,              0.8763,             0.62494,             0.02299,           0.0061783,           0.0084527,           0.0086041,           0.0086041,           0.0086041
                 143,            0.018819,            0.007292,           0.0017337,              0.9472,             0.84385,             0.88996,             0.63886,            0.023801,           0.0060394,            0.007445,           0.0085942,           0.0085942,           0.0085942
                 144,            0.019194,           0.0075897,           0.0023234,              0.8984,             0.88889,             0.88352,             0.64593,            0.022471,           0.0060114,           0.0087015,           0.0085843,           0.0085843,           0.0085843
                 145,            0.018478,           0.0073165,           0.0023051,             0.79169,             0.83866,             0.84484,             0.60071,            0.024926,           0.0059756,            0.013649,           0.0085744,           0.0085744,           0.0085744
                 146,            0.019268,           0.0073026,           0.0018916,             0.85106,             0.87029,             0.87981,             0.61397,            0.024321,           0.0055411,            0.015094,           0.0085645,           0.0085645,           0.0085645
                 147,            0.018376,           0.0075109,           0.0018081,             0.93133,             0.88595,             0.90889,             0.68007,            0.022474,           0.0049789,           0.0071261,           0.0085546,           0.0085546,           0.0085546
                 148,             0.01829,           0.0074677,           0.0024036,             0.90767,             0.88455,             0.90892,             0.65121,            0.023535,           0.0051062,           0.0093198,           0.0085447,           0.0085447,           0.0085447
                 149,            0.018058,           0.0074039,            0.002447,             0.86511,             0.73611,             0.82586,             0.61435,            0.022464,           0.0057147,            0.017012,           0.0085348,           0.0085348,           0.0085348
                 150,            0.018018,           0.0073935,           0.0026098,             0.91106,              0.8434,             0.88264,             0.61979,            0.025041,           0.0055438,            0.014464,           0.0085249,           0.0085249,           0.0085249
                 151,            0.018631,           0.0075046,           0.0020198,             0.86601,             0.85913,             0.88959,             0.62333,            0.025182,           0.0055402,            0.016316,            0.008515,            0.008515,            0.008515
                 152,            0.018742,           0.0076033,           0.0019735,              0.8067,             0.79233,              0.7931,             0.57801,            0.022278,           0.0060529,            0.018975,           0.0085051,           0.0085051,           0.0085051
                 153,            0.018254,           0.0072286,           0.0020941,             0.92676,               0.825,             0.87176,             0.64031,            0.023229,           0.0057779,            0.012774,           0.0084952,           0.0084952,           0.0084952
                 154,            0.018264,           0.0075312,            0.001994,             0.94559,             0.83006,             0.88316,             0.63652,            0.022913,           0.0060648,            0.013799,           0.0084853,           0.0084853,           0.0084853
